,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,-,ACTION,ADVENTURE,BIOGRAPHY,COMEDY,CRIME,DRAMA,F,FILM-NOIR,HORROR,I,L,M,MYSTERY,ROMANCE,SCI-FI,SPORT,THRILLER
198,Retorno al pasado,(1947),13,97,8.0,85.0,37780,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
199,Ruta infernal,(1957),A,108,7.2,NaN,3564,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
200,"Scarface, el terror del hampa",(1932),13,93,7.7,87.0,28326,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
201,Se interpone un hombre,(1953),,100,7.0,NaN,2232,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
202,Secreto tras la puerta,(1947),,99,6.7,NaN,5116,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0
203,Secuestro,(1949),,88,6.3,NaN,2269,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
204,Sed de mal,(1958),13,95,8.0,99.0,105086,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
205,Senda prohibida,(1941),,107,7.0,NaN,3176,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
206,Shakedown,(1950),,80,7.0,NaN,441,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
207,Sin conciencia,(1951),,87,7.3,NaN,5177,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
208,Sin remisión,(1950),13,96,7.6,NaN,4052,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
209,Sin sombra de sospecha,(1947),,103,7.2,NaN,3347,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0
210,Soga de arena,(1949),,104,6.7,NaN,1597,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
211,Solo en la noche,(1946),18,110,7.1,NaN,3098,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
212,Sospecha,(1941),13,99,7.3,83.0,39025,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
213,Soy un fugitivo,(1932),,92,8.2,NaN,13427,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
214,Sábado trágico,(1955),7,90,6.9,NaN,2551,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
215,Sólo se vive una vez,(1937),A,86,7.3,NaN,6975,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
216,Tener y no tener,(1944),A,100,7.8,90.0,35182,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
217,Tension,(1949),,95,7.3,NaN,3108,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
218,Tentación,(1946),,98,6.3,NaN,208,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
219,Terror en la noche,(1946),,60,6.8,NaN,6242,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
220,Testigo accidental,(1952),13,71,7.7,NaN,7992,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
221,The Amazing Mr. X,(1948),,78,6.4,NaN,1906,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
222,The Female Animal,(1958),,84,6.1,NaN,502,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
223,The Girl in Black Stockings,(1957),,75,5.5,NaN,887,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
224,The Hidden Room,(1949),,96,7.4,NaN,2276,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
225,The House Across the Lake,(1954),,68,6.0,NaN,653,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
226,The Man Who Cheated Himself,(1950),,81,6.8,NaN,2491,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
227,The Scarlet Hour,(1956),,95,6.9,NaN,499,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
