,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,C,COMEDY,CRIME,DOCUMENTARY,DRAMA,E,FAMILY,FANTASY,HISTORY,HORROR,I,M,MYSTERY,R,ROMANCE,SCI-FI,SHORT,SPORT,THRILLER
153,Misterios sin resolver,(2020– ),13,45.0,7.3,NaN,10610.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
154,Miércoles,(2022– ),,NaN,8.6,NaN,227.0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
155,Monica O My Darling,(2022),,129.0,7.7,NaN,5941.0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
156,Monk,(2002–2009),13,44.0,8.0,NaN,75874.0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
157,Mr. Robot,(2015–2019),16,49.0,8.6,NaN,386588.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
158,Muerte en el Nilo,(2022),12,127.0,6.3,52.0,144558.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
159,My Life Is Murder,(2019– ),,60.0,7.5,NaN,3789.0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
160,NCIS: Hawai'i,(2021– ),,43.0,6.4,NaN,5993.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
161,NCIS: Los Ángeles,(2009– ),12,43.0,6.8,NaN,53944.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
162,Nadie,(I) (2021),18,92.0,7.4,64.0,248146.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
163,Narcos,(2015–2017),16,49.0,8.8,NaN,420553.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
164,Navy: Investigación criminal,(2003– ),12,60.0,7.8,NaN,147609.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,No es país para viejos,(2007),18,122.0,8.2,92.0,967992.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
166,Noche de paz,(2022),R,101.0,NaN,NaN,NaN,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,Ocean's Eleven: Hagan juego,(2001),A,116.0,7.7,74.0,574184.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
168,One of Us Is Lying,(2021– ),16,50.0,6.8,NaN,9661.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
169,Orange Is the New Black,(2013–2019),16,59.0,8.1,NaN,302205.0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
170,Ozark,(2017–2022),16,60.0,8.5,NaN,313810.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
171,Padre Brown,(2013– ),7,52.0,7.8,NaN,12000.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
172,Peaky Blinders,(2013–2022),16,60.0,8.8,NaN,542706.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
