,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DRAMA,FAMILY,FANTASY,H,HISTORY,HORROR,MUSICAL,MYSTERY,O,R,REALITY-TV,ROMANCE,SCI-FI,SHORT,THRILLER
19,Blade,(1998),18,120.0,7.1,47.0,275341.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
20,Bodies Bodies Bodies,(2022),R,94.0,6.3,69.0,25929.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
21,"Buenas noches, mamá",(2022),R,92.0,5.6,45.0,8277.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
22,"Buffy, la cazavampiros",(1992),13,86.0,5.6,48.0,45518.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
23,Candyman,(2021),16,91.0,5.9,72.0,65380.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
24,"Candyman, el dominio de la mente",(1992),18,99.0,6.7,61.0,92360.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
25,Carrie,(1976),18,98.0,7.4,85.0,188732.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
26,Casa Búho,(2020–2023),TP,22.0,8.3,NaN,11843.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27,Cerdita,(2022),16,99.0,6.2,78.0,2657.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
28,Chainsaw Man,(2022– ),,NaN,8.9,NaN,8795.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,Christine,(1983),13,110.0,6.7,57.0,84316.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
30,Chucky,(2021– ),18,42.0,7.3,NaN,19871.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
31,Constantine,(2005),18,121.0,7.0,50.0,347156.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
32,Crímenes del futuro,(2022),18,107.0,5.9,67.0,24912.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
33,Crónicas vampíricas,(2009–2017),16,43.0,7.7,NaN,320567.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
34,"Dahmer, el carnicero de Milwaukee",(2002),18,101.0,5.6,63.0,11034.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,Deadstream,(2022),,87.0,6.6,67.0,5768.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
36,Depredador,(1987),18,107.0,7.8,47.0,422874.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
37,Destino final,(2000),13,98.0,6.7,36.0,256874.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
38,Destino final 2,(2003),13,90.0,6.2,38.0,168560.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
39,Destino final 3,(2006),18,93.0,5.8,41.0,143474.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
40,Doctor Strange en el multiverso de la locura,(2022),12,126.0,6.9,60.0,399981.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
41,Doctor Sueño,(2019),16,152.0,7.3,59.0,192544.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
42,Drácula 2001,(2000),13,99.0,4.9,26.0,34357.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
43,Drácula de Bram Stoker,(1992),18,128.0,7.4,57.0,218491.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
